Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for windows-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 04:01:33 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33125424k(24524116k free), swap 38106160k(28294744k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2021-03-28T20:09:20.696+0800: 0.319: [GC (Allocation Failure) [PSYoungGen: 65435K->10737K(76288K)] 65435K->17402K(251392K), 0.0046084 secs] [Times: user=0.05 sys=0.08, real=0.00 secs] 
2021-03-28T20:09:20.712+0800: 0.334: [GC (Allocation Failure) [PSYoungGen: 76273K->10734K(76288K)] 82938K->41032K(251392K), 0.0074269 secs] [Times: user=0.02 sys=0.11, real=0.01 secs] 
2021-03-28T20:09:20.727+0800: 0.349: [GC (Allocation Failure) [PSYoungGen: 76270K->10751K(76288K)] 106568K->61498K(251392K), 0.0060838 secs] [Times: user=0.02 sys=0.11, real=0.01 secs] 
2021-03-28T20:09:20.742+0800: 0.364: [GC (Allocation Failure) [PSYoungGen: 76287K->10750K(76288K)] 127034K->81287K(251392K), 0.0056747 secs] [Times: user=0.06 sys=0.06, real=0.01 secs] 
2021-03-28T20:09:20.756+0800: 0.378: [GC (Allocation Failure) [PSYoungGen: 76286K->10747K(76288K)] 146823K->101287K(251392K), 0.0059474 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-03-28T20:09:20.770+0800: 0.391: [GC (Allocation Failure) [PSYoungGen: 76120K->10751K(40448K)] 166660K->122522K(215552K), 0.0066786 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-03-28T20:09:20.781+0800: 0.403: [GC (Allocation Failure) [PSYoungGen: 40447K->17710K(58368K)] 152218K->131870K(233472K), 0.0025060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-28T20:09:20.788+0800: 0.409: [GC (Allocation Failure) [PSYoungGen: 47277K->21738K(58368K)] 161436K->139581K(233472K), 0.0027190 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-28T20:09:20.793+0800: 0.415: [GC (Allocation Failure) [PSYoungGen: 51434K->27135K(58368K)] 169277K->149278K(233472K), 0.0032456 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2021-03-28T20:09:20.800+0800: 0.422: [GC (Allocation Failure) [PSYoungGen: 56789K->23591K(58368K)] 178932K->161954K(233472K), 0.0042984 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-03-28T20:09:20.808+0800: 0.430: [GC (Allocation Failure) [PSYoungGen: 53163K->12277K(58368K)] 191525K->172362K(233472K), 0.0053771 secs] [Times: user=0.09 sys=0.03, real=0.01 secs] 
2021-03-28T20:09:20.814+0800: 0.435: [Full GC (Ergonomics) [PSYoungGen: 12277K->0K(58368K)] [ParOldGen: 160085K->147484K(175104K)] 172362K->147484K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0172439 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:20.835+0800: 0.457: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 147484K->150784K(175104K)] 177180K->150784K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0159592 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:20.855+0800: 0.477: [Full GC (Ergonomics) [PSYoungGen: 29630K->0K(58368K)] [ParOldGen: 150784K->159148K(175104K)] 180414K->159148K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0147138 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2021-03-28T20:09:20.873+0800: 0.496: [Full GC (Ergonomics) [PSYoungGen: 29062K->0K(58368K)] [ParOldGen: 159148K->163833K(175104K)] 188210K->163833K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0146146 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:20.892+0800: 0.514: [Full GC (Ergonomics) [PSYoungGen: 29648K->0K(58368K)] [ParOldGen: 163833K->166736K(175104K)] 193481K->166736K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0163107 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:20.912+0800: 0.534: [Full GC (Ergonomics) [PSYoungGen: 29696K->0K(58368K)] [ParOldGen: 166736K->171534K(175104K)] 196432K->171534K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0163727 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:20.932+0800: 0.554: [Full GC (Ergonomics) [PSYoungGen: 29070K->1647K(58368K)] [ParOldGen: 171534K->174969K(175104K)] 200604K->176617K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0158545 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:20.950+0800: 0.573: [Full GC (Ergonomics) [PSYoungGen: 29298K->8528K(58368K)] [ParOldGen: 174969K->175095K(175104K)] 204267K->183624K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0168475 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:20.970+0800: 0.592: [Full GC (Ergonomics) [PSYoungGen: 29696K->11285K(58368K)] [ParOldGen: 175095K->175005K(175104K)] 204791K->186290K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0197992 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:20.991+0800: 0.614: [Full GC (Ergonomics) [PSYoungGen: 29682K->16397K(58368K)] [ParOldGen: 175005K->175033K(175104K)] 204687K->191430K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0176833 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.011+0800: 0.633: [Full GC (Ergonomics) [PSYoungGen: 29571K->19522K(58368K)] [ParOldGen: 175033K->174825K(175104K)] 204604K->194348K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0147568 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.028+0800: 0.649: [Full GC (Ergonomics) [PSYoungGen: 29062K->21436K(58368K)] [ParOldGen: 174825K->174832K(175104K)] 203887K->196268K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0162370 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.045+0800: 0.667: [Full GC (Ergonomics) [PSYoungGen: 29532K->23086K(58368K)] [ParOldGen: 174832K->174769K(175104K)] 204365K->197856K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0168789 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.063+0800: 0.684: [Full GC (Ergonomics) [PSYoungGen: 29412K->25700K(58368K)] [ParOldGen: 174769K->174262K(175104K)] 204182K->199962K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0185560 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.082+0800: 0.703: [Full GC (Ergonomics) [PSYoungGen: 29448K->25770K(58368K)] [ParOldGen: 174262K->175052K(175104K)] 203711K->200823K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0220835 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.104+0800: 0.726: [Full GC (Ergonomics) [PSYoungGen: 29595K->26947K(58368K)] [ParOldGen: 175052K->174973K(175104K)] 204648K->201921K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0171002 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.122+0800: 0.744: [Full GC (Ergonomics) [PSYoungGen: 29686K->27333K(58368K)] [ParOldGen: 174973K->175077K(175104K)] 204660K->202410K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0199527 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.142+0800: 0.764: [Full GC (Ergonomics) [PSYoungGen: 29336K->28054K(58368K)] [ParOldGen: 175077K->174776K(175104K)] 204413K->202831K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0056561 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2021-03-28T20:09:21.148+0800: 0.770: [Full GC (Ergonomics) [PSYoungGen: 29395K->28759K(58368K)] [ParOldGen: 174776K->174776K(175104K)] 204172K->203536K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0022245 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-28T20:09:21.150+0800: 0.772: [Full GC (Ergonomics) [PSYoungGen: 29670K->28759K(58368K)] [ParOldGen: 174776K->174776K(175104K)] 204447K->203536K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0020352 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2021-03-28T20:09:21.153+0800: 0.775: [Full GC (Ergonomics) [PSYoungGen: 29628K->28483K(58368K)] [ParOldGen: 174776K->174750K(175104K)] 204404K->203233K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0231494 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2021-03-28T20:09:21.176+0800: 0.798: [Full GC (Ergonomics) [PSYoungGen: 29660K->28567K(58368K)] [ParOldGen: 174750K->174630K(175104K)] 204411K->203197K(233472K), [Metaspace: 3305K->3305K(1056768K)], 0.0199545 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
